================================================================================================
DAILY-MEAN CONTRACT CHECK — D+1, thresholds: {"pm25": {"r2": 0.7, "rmse": 20.0}, "no2": {"r2": 0.7, "rmse": 20.0}, "o3": {"r2": 0.7, "rmse": 20.0}, "so2": {"r2": 0.7, "rmse": 20.0}, "pm10": {"r2": 0.5, "rmse": 45.0}}
================================================================================================
pollutant  window                            pass  marg  fail total
 6932 Alipur                     PM2.5  fold_3                              29.65    0.378    38.10
10484 Sri Aurobindo Marg         PM2.5  fold_1_stubble_oct_nov_2025         63.78    0.379    80.37
 5598 Noida Sector 125           PM2.5  fold_3                              43.05    0.385    62.82
 5627 CRRI Mathura Road          PM2.5  fold_1_stubble_oct_nov_2025         75.55    0.387    97.08
 6929 Major Dhyan Chand National PM2.5  fold_1_stubble_oct_nov_2025         52.84    0.393    59.09
 6929 Major Dhyan Chand National PM2.5  fold_3                              25.44    0.394    29.57
 6978 Greater Noida (Knowledge P PM2.5  fold_3                              24.06    0.394    28.91
 6978 Greater Noida (Knowledge P PM2.5  fold_2                              52.06    0.397    59.45
 6980 Noida Sector 1             PM2.5  fold_3                              33.34    0.403    43.92
 5616 Noida Sector 62            PM2.5  fold_3                              26.32    0.407    32.66
 8915 Wazirpur                   PM2.5  fold_1_stubble_oct_nov_2025         84.61    0.420    90.63
10485 Narela                     PM2.5  holdout_120d                        17.91    0.430    21.90
 8365 Nehru Nagar                PM2.5  fold_1_stubble_oct_nov_2025         72.89    0.440    75.38
10831 Rohini                     PM2.5  fold_3                              35.20    0.468    47.03
 6931 Dwarka Sector 8            PM2.5  fold_2                              67.89    0.468    85.23
 6929 Major Dhyan Chand National PM2.5  fold_2                              53.99    0.470    65.18
10484 Sri Aurobindo Marg         PM2.5  fold_2                              55.55    0.472    72.93
 6934 Dr. Karni Singh Shooting R PM2.5  fold_1_stubble_oct_nov_2025         59.74    0.475    66.45
 5627 CRRI Mathura Road          PM2.5  fold_2                              64.53    0.478    83.71
 5665 Ghaziabad (Vasundhara)     PM2.5  fold_2                              72.94    0.479    88.78
 6924 Ghaziabad (Indirapuram)    PM2.5  fold_3                              34.51    0.503    46.88
 6931 Dwarka Sector 8            PM2.5  fold_3                              31.78    0.503    38.31
 8915 Wazirpur                   PM2.5  fold_2                              81.32    0.505    93.78
   50 Punjabi Bagh               PM2.5  fold_3                              31.20    0.508    41.91
 8235 Jahangirpuri               PM2.5  fold_3                              36.77    0.518    45.83
 7005 Ghaziabad (Loni)           PM2.5  fold_1_stubble_oct_nov_2025         73.52    0.523    80.45
 8472 Bawana                     PM2.5  fold_1_stubble_oct_nov_2025         72.70    0.523    76.47
 5613 ITO                        PM2.5  fold_1_stubble_oct_nov_2025         66.99    0.524    77.52
  235 Anand Vihar                PM2.5  fold_3                              32.25    0.526    46.24
 8917 Ashok Vihar                PM2.5  fold_1_stubble_oct_nov_2025         65.16    0.535    72.88
 5613 ITO                        PM2.5  fold_2                              66.50    0.542    77.91
 8917 Ashok Vihar                PM2.5  fold_3                              33.76    0.549    44.56
 8917 Ashok Vihar                PM2.5  fold_2                              70.17    0.551    84.50
 8915 Wazirpur                   PM2.5  fold_3                              32.98    0.551    46.18
 8365 Nehru Nagar                PM2.5  fold_2                              69.38    0.556    78.75
 7005 Ghaziabad (Loni)           PM2.5  fold_2                              66.01    0.561    72.89
 6934 Dr. Karni Singh Shooting R PM2.5  fold_2                              57.94    0.567    72.30
 8472 Bawana                     PM2.5  fold_2                              70.63    0.567    82.23
 5616 Noida Sector 62            PM2.5  fold_2                              45.28    0.576    57.20
 5616 Noida Sector 62            PM2.5  fold_1_stubble_oct_nov_2025         41.58    0.593    57.27
 8365 Nehru Nagar                PM2.5  fold_3                              33.19    0.604    41.97
10485 Narela                     PM2.5  fold_2                              60.66    0.618    75.43
10485 Narela                     PM2.5  fold_1_stubble_oct_nov_2025         58.59    0.623    66.36
 5586 Siri Fort                  PM2.5  fold_2                              55.10    0.624    71.67
 6932 Alipur                     PM2.5  fold_1_stubble_oct_nov_2025         52.19    0.631    61.18
 5586 Siri Fort                  PM2.5  fold_1_stubble_oct_nov_2025         46.77    0.640    59.62
 6932 Alipur                     PM2.5  fold_2                              49.23    0.649    60.93
  235 Anand Vihar                PM2.5  fold_2                              60.63    0.676    85.44
 5626 DTU                        PM2.5  fold_2                              61.00    0.677    66.89
 8475 Sonia Vihar                PM2.5  fold_2                              52.79    0.693    74.13
 5541 Burari Crossing            PM2.5  fold_1_stubble_oct_nov_2025         49.81    0.714    78.03
 5541 Burari Crossing            PM2.5  fold_2                              44.46    0.723    71.28
 5626 DTU                        PM2.5  fold_1_stubble_oct_nov_2025         49.03    0.731    46.97
 8475 Sonia Vihar                PM2.5  fold_1_stubble_oct_nov_2025         45.31    0.743    64.32
  235 Anand Vihar                PM2.5  fold_1_stubble_oct_nov_2025         37.75    0.840    73.09
 5626 DTU                        SO2    holdout_120d                     4917958180419.45 -1973875596710969155256320.000     3.50
 5586 Siri Fort                  SO2    holdout_120d                     4946376159493.79 -1045635406954786614935552.000     3.69
10820 Faridabad (Sector 30)      SO2    fold_1_stubble_oct_nov_2025          2.39 -167.142     0.28
10820 Faridabad (Sector 30)      SO2    fold_2                               2.02 -137.166     0.26
  301 Gurugram (Vikas Sadan)     SO2    fold_3                               1.28  -60.366     0.23
10908 Faridabad (Sector 11)      SO2    holdout_120d                         4.03  -13.400     1.63
10820 Faridabad (Sector 30)      SO2    fold_3                               2.67   -9.883     0.51
10825 Gurugram (Sector 51)       SO2    fold_1_stubble_oct_nov_2025         27.71   -7.477    28.14
   50 Punjabi Bagh               SO2    holdout_120d                        14.21   -5.092     5.79
 6980 Noida Sector 1             SO2    holdout_120d                         6.25   -2.568     4.14
 6978 Greater Noida (Knowledge P SO2    holdout_120d                         6.62   -1.355     4.75
10825 Gurugram (Sector 51)       SO2    fold_3                               3.12   -1.130     2.46
10488 Najafgarh                  SO2    holdout_120d                        10.35   -1.097     5.98
10825 Gurugram (Sector 51)       SO2    holdout_120d                        89.55   -1.015    89.89
  301 Gurugram (Vikas Sadan)     SO2    fold_2                               1.25   -0.836     0.84
  235 Anand Vihar                SO2    holdout_120d                         9.64   -0.711     6.03
10820 Faridabad (Sector 30)      SO2    holdout_120d                         2.08   -0.623     1.43
 6358 Mandir Marg                SO2    fold_3                              11.88   -0.549    12.56
  235 Anand Vihar                SO2    fold_1_stubble_oct_nov_2025         21.50   -0.537    18.03
 6924 Ghaziabad (Indirapuram)    SO2    holdout_120d                         2.99   -0.518     2.99
10825 Gurugram (Sector 51)       SO2    fold_2                              32.34   -0.512    21.89
   17 R K Puram                  SO2    holdout_120d                        11.72   -0.452     7.90
 6988 Noida Sector 116           SO2    fold_1_stubble_oct_nov_2025          6.77   -0.398     6.77
 5598 Noida Sector 125           SO2    holdout_120d                         3.33   -0.373     3.31
 5598 Noida Sector 125           SO2    fold_3                               4.45   -0.350     4.25
 8915 Wazirpur                   SO2    holdout_120d                         5.90   -0.338     2.79
 8472 Bawana                     SO2    holdout_120d                         8.28   -0.305     5.40
  301 Gurugram (Vikas Sadan)     SO2    fold_1_stubble_oct_nov_2025          1.24   -0.296     0.96
 6359 Vivek Vihar                SO2    holdout_120d                         2.27   -0.292     2.61
 8915 Wazirpur                   SO2    fold_1_stubble_oct_nov_2025          5.53   -0.291     4.85
 5665 Ghaziabad (Vasundhara)     SO2    fold_2                              17.70   -0.266    20.12
 6931 Dwarka Sector 8            SO2    holdout_120d                         6.28   -0.195     7.53
  301 Gurugram (Vikas Sadan)     SO2    holdout_120d                        36.45   -0.195    37.41
10900 Gurugram (Teri Gram)       SO2    holdout_120d                         4.62   -0.182     5.07
 5665 Ghaziabad (Vasundhara)     SO2    holdout_120d                         8.20   -0.172     7.73
 5665 Ghaziabad (Vasundhara)     SO2    fold_3                              21.97   -0.149    27.75
 7005 Ghaziabad (Loni)           SO2    holdout_120d                         4.83   -0.143     5.29
 5665 Ghaziabad (Vasundhara)     SO2    fold_1_stubble_oct_nov_2025         15.15   -0.138    16.32
  235 Anand Vihar                SO2    fold_2                              22.71   -0.115    25.42
 6358 Mandir Marg                SO2    holdout_120d                        18.99   -0.111    21.40
10900 Gurugram (Teri Gram)       SO2    fold_2                               8.33   -0.094    11.09
  235 Anand Vihar                SO2    fold_3                               9.80   -0.084    12.61
 6931 Dwarka Sector 8            SO2    fold_1_stubble_oct_nov_2025         10.08   -0.080    12.80
10900 Gurugram (Teri Gram)       SO2    fold_1_stubble_oct_nov_2025          8.51   -0.037    11.66
 7005 Ghaziabad (Loni)           SO2    fold_3                               4.25   -0.024     4.59
 8915 Wazirpur                   SO2    fold_2                               4.88   -0.022     3.98
 5598 Noida Sector 125           SO2    fold_1_stubble_oct_nov_2025          4.09   -0.020     4.09
10908 Faridabad (Sector 11)      SO2    fold_3                               5.08   -0.016     6.64
10831 Rohini                     SO2    holdout_120d                         5.97   -0.007     5.10
 5586 Siri Fort                  SO2    fold_1_stubble_oct_nov_2025      100322821691689.33   -0.003 149879714836442.41
 5626 DTU                        SO2    fold_1_stubble_oct_nov_2025      144008264395558.44    0.003 209691469952681.53
 5613 ITO                        SO2    holdout_120d                         6.73    0.006     6.74
 5586 Siri Fort                  SO2    fold_3                           25962314685270.12    0.008 37518376766319.86
 5626 DTU                        SO2    fold_2                           109973328100554.69    0.011 159857428886104.28
   17 R K Puram                  SO2    fold_3                              28.01    0.011    37.55
 5586 Siri Fort                  SO2    fold_2                           147410535779617.78    0.012 214314305799047.22
10908 Faridabad (Sector 11)      SO2    fold_1_stubble_oct_nov_2025         14.55    0.015    14.45
10900 Gurugram (Teri Gram)       SO2    fold_3                               4.50    0.026     4.94
 6924 Ghaziabad (Indirapuram)    SO2    fold_1_stubble_oct_nov_2025          7.20    0.032     7.32
 5598 Noida Sector 125           SO2    fold_2                               3.92    0.034     3.92
10484 Sri Aurobindo Marg         SO2    fold_1_stubble_oct_nov_2025          3.46    0.037     3.46
 5626 DTU                        SO2    fold_3                           71963959103685.38    0.054 106028097470508.08
 8475 Sonia Vihar                SO2    fold_3                              43.15    0.061    57.69
 6932 Alipur                     SO2    fold_3                               4.16    0.070     4.39
 6978 Greater Noida (Knowledge P SO2    fold_3                              18.14    0.071    26.73
 8472 Bawana                     SO2    fold_1_stubble_oct_nov_2025          7.90    0.075    10.53
 6931 Dwarka Sector 8            SO2    fold_2                               7.97    0.089     9.99
 8235 Jahangirpuri               SO2    holdout_120d                         5.41    0.090     5.32
10485 Narela                     SO2    fold_3                               4.91    0.099     5.19
 6931 Dwarka Sector 8            SO2    fold_3                               4.49    0.105     4.72
 5613 ITO                        SO2    fold_1_stubble_oct_nov_2025          3.67    0.127     3.67
10488 Najafgarh                  SO2    fold_3                               5.13    0.136     6.42
10484 Sri Aurobindo Marg         SO2    fold_2                               2.75    0.138     2.75
 6988 Noida Sector 116           SO2    holdout_120d                         3.73    0.142     3.73
 6988 Noida Sector 116           SO2    fold_3                               3.41    0.148     3.35
 6988 Noida Sector 116           SO2    fold_2                               5.30    0.158     5.30
 6978 Greater Noida (Knowledge P SO2    fold_1_stubble_oct_nov_2025          6.60    0.171     6.06
 6932 Alipur                     SO2    holdout_120d                         3.60    0.181     3.38
 5613 ITO                        SO2    fold_2                               4.58    0.182     4.58
 8472 Bawana                     SO2    fold_2                               5.93    0.184     7.88
10485 Narela                     SO2    holdout_120d                         5.71    0.191     5.13
10908 Faridabad (Sector 11)      SO2    fold_2                              11.11    0.212    11.35
10919 Ghaziabad (Sanjay Nagar)   SO2    holdout_120d                         5.31    0.214     4.89
 8917 Ashok Vihar                SO2    fold_1_stubble_oct_nov_2025          5.76    0.234     7.41
10919 Ghaziabad (Sanjay Nagar)   SO2    fold_1_stubble_oct_nov_2025          3.65    0.249     4.52
 6957 Jawaharlal Nehru Stadium   SO2    fold_3                              12.18    0.261    13.89
10919 Ghaziabad (Sanjay Nagar)   SO2    fold_2                               3.64    0.262     4.11
 6359 Vivek Vihar                SO2    fold_3                               3.06    0.268     3.35
 6978 Greater Noida (Knowledge P SO2    fold_2                               5.66    0.279     5.62
10484 Sri Aurobindo Marg         SO2    holdout_120d                         8.90    0.302     8.94
 6980 Noida Sector 1             SO2    fold_3                               4.18    0.308     5.62
10919 Ghaziabad (Sanjay Nagar)   SO2    fold_3                               4.95    0.326     5.25
   50 Punjabi Bagh               SO2    fold_3                              19.70    0.347    22.47
 6934 Dr. Karni Singh Shooting R SO2    fold_3                               3.75    0.373     4.26
 6929 Major Dhyan Chand National SO2    holdout_120d                         3.89    0.374     4.20
10831 Rohini                     SO2    fold_3                               4.47    0.374     5.05
10485 Narela                     SO2    fold_2                               4.49    0.384     5.21
 6934 Dr. Karni Singh Shooting R SO2    fold_1_stubble_oct_nov_2025          6.17    0.409     7.28
 8365 Nehru Nagar                SO2    fold_3                               4.92    0.412     4.85
 8917 Ashok Vihar                SO2    fold_2                               4.65    0.413     5.71
 6924 Ghaziabad (Indirapuram)    SO2    fold_2                               6.44    0.414     6.53
10485 Narela                     SO2    fold_1_stubble_oct_nov_2025          4.46    0.432     5.00
 8917 Ashok Vihar                SO2    fold_3                               4.11    0.450     4.42
 8365 Nehru Nagar                SO2    holdout_120d                         3.70    0.453     4.19
 6358 Mandir Marg                SO2    fold_1_stubble_oct_nov_2025         21.07    0.468    22.09
 6929 Major Dhyan Chand National SO2    fold_1_stubble_oct_nov_2025          5.27    0.474     5.89
 8365 Nehru Nagar                SO2    fold_2                               5.83    0.487     7.46
 8365 Nehru Nagar                SO2    fold_1_stubble_oct_nov_2025          6.55    0.492     8.56
 8915 Wazirpur                   SO2    fold_3                               3.52    0.492     3.93

--- APPENDIX: D+2 / D+3 (reported, not contracted) ---
  sid name                       poll   window                           lead      rmse       r2
10484 Sri Aurobindo Marg         pm25   fold_1_stubble_oct_nov_2025      D+2      67.85    0.294
10484 Sri Aurobindo Marg         pm25   fold_1_stubble_oct_nov_2025      D+3      67.94    0.274
10484 Sri Aurobindo Marg         pm25   fold_2                           D+2      57.76    0.428
10484 Sri Aurobindo Marg         pm25   fold_2                           D+3      57.40    0.434
10484 Sri Aurobindo Marg         pm25   fold_3                           D+2      19.35    0.131
10484 Sri Aurobindo Marg         pm25   fold_3                           D+3      20.11    0.053
10484 Sri Aurobindo Marg         pm25   holdout_120d                     D+2      11.96   -0.091
10484 Sri Aurobindo Marg         pm25   holdout_120d                     D+3      12.13   -0.154
10484 Sri Aurobindo Marg         pm10   fold_1_stubble_oct_nov_2025      D+2      82.09    0.263
10484 Sri Aurobindo Marg         pm10   fold_1_stubble_oct_nov_2025      D+3      81.88    0.236
10484 Sri Aurobindo Marg         pm10   fold_2                           D+2      72.23    0.422
10484 Sri Aurobindo Marg         pm10   fold_2                           D+3      71.27    0.435
10484 Sri Aurobindo Marg         pm10   fold_3                           D+2      49.44    0.091
10484 Sri Aurobindo Marg         pm10   fold_3                           D+3      49.75    0.075
10484 Sri Aurobindo Marg         pm10   holdout_120d                     D+2      61.17   -0.142
10484 Sri Aurobindo Marg         pm10   holdout_120d                     D+3      61.22   -0.148
10484 Sri Aurobindo Marg         no2    fold_1_stubble_oct_nov_2025      D+2       6.56    0.434
10484 Sri Aurobindo Marg         no2    fold_1_stubble_oct_nov_2025      D+3       6.87    0.362
10484 Sri Aurobindo Marg         no2    fold_2                           D+2       7.09    0.452
10484 Sri Aurobindo Marg         no2    fold_2                           D+3       7.32    0.413
10484 Sri Aurobindo Marg         no2    fold_3                           D+2       9.02   -0.063
10484 Sri Aurobindo Marg         no2    fold_3                           D+3       9.41   -0.165
10484 Sri Aurobindo Marg         no2    holdout_120d                     D+2       5.62    0.555
10484 Sri Aurobindo Marg         no2    holdout_120d                     D+3       5.86    0.512
10484 Sri Aurobindo Marg         o3     fold_1_stubble_oct_nov_2025      D+2       9.37   -0.294
10484 Sri Aurobindo Marg         o3     fold_1_stubble_oct_nov_2025      D+3       8.77   -0.135
10484 Sri Aurobindo Marg         o3     fold_2                           D+2      10.30   -0.047
10484 Sri Aurobindo Marg         o3     fold_2                           D+3      10.21   -0.027
10484 Sri Aurobindo Marg         o3     fold_3                           D+2      15.27   -0.117
10484 Sri Aurobindo Marg         o3     fold_3                           D+3      15.15   -0.109
10484 Sri Aurobindo Marg         o3     holdout_120d                     D+2      10.61   -0.793
10484 Sri Aurobindo Marg         o3     holdout_120d                     D+3      10.78   -0.913
10484 Sri Aurobindo Marg         so2    fold_1_stubble_oct_nov_2025      D+2       4.28   -0.503
10484 Sri Aurobindo Marg         so2    fold_1_stubble_oct_nov_2025      D+3       4.81   -0.932
10484 Sri Aurobindo Marg         so2    fold_2                           D+2       3.33   -0.267
10484 Sri Aurobindo Marg         so2    fold_2                           D+3       3.71   -0.568
10484 Sri Aurobindo Marg         so2    fold_3                           D+2       2.37    0.730
10484 Sri Aurobindo Marg         so2    fold_3                           D+3       2.52    0.706
10484 Sri Aurobindo Marg         so2    holdout_120d                     D+2      10.97   -0.053
10484 Sri Aurobindo Marg         so2    holdout_120d                     D+3      12.72   -0.407
10485 Narela                     pm25   fold_1_stubble_oct_nov_2025      D+2      54.93    0.658
10485 Narela                     pm25   fold_1_stubble_oct_nov_2025      D+3      51.89    0.682
10485 Narela                     pm25   fold_2                           D+2      58.39    0.644
10485 Narela                     pm25   fold_2                           D+3      57.49    0.652
10485 Narela                     pm25   fold_3                           D+2      36.11    0.208
10485 Narela                     pm25   fold_3                           D+3      37.55    0.137
10485 Narela                     pm25   holdout_120d                     D+2      18.27    0.397
10485 Narela                     pm25   holdout_120d                     D+3      18.68    0.364
10485 Narela                     pm10   fold_1_stubble_oct_nov_2025      D+2      75.68    0.589
10485 Narela                     pm10   fold_1_stubble_oct_nov_2025      D+3      71.28    0.617
10485 Narela                     pm10   fold_2                           D+2      79.09    0.580
10485 Narela                     pm10   fold_2                           D+3      77.57    0.595
10485 Narela                     pm10   fold_3                           D+2      70.66    0.097
10485 Narela                     pm10   fold_3                           D+3      72.84    0.035
10485 Narela                     pm10   holdout_120d                     D+2      64.10    0.356
10485 Narela                     pm10   holdout_120d                     D+3      65.26    0.326
10485 Narela                     no2    fold_1_stubble_oct_nov_2025      D+2       9.46    0.494
10485 Narela                     no2    fold_1_stubble_oct_nov_2025      D+3       9.33    0.495
10485 Narela                     no2    fold_2                           D+2       7.90    0.578
10485 Narela                     no2    fold_2                           D+3       8.20    0.543
10485 Narela                     no2    fold_3                           D+2       8.02   -0.173
10485 Narela                     no2    fold_3                           D+3       8.02   -0.177
10485 Narela                     no2    holdout_120d                     D+2       5.63   -0.218
10485 Narela                     no2    holdout_120d                     D+3       5.96   -0.356
10485 Narela                     o3     fold_1_stubble_oct_nov_2025      D+2      14.44   -0.112
10485 Narela                     o3     fold_1_stubble_oct_nov_2025      D+3      14.60   -0.145
10485 Narela                     o3     fold_2                           D+2      13.28    0.384
10485 Narela                     o3     fold_2                           D+3      13.47    0.371
10485 Narela                     o3     fold_3                           D+2      13.57   -0.226
10485 Narela                     o3     fold_3                           D+3      14.41   -0.373
10485 Narela                     o3     holdout_120d                     D+2      32.36  -20.344
10485 Narela                     o3     holdout_120d                     D+3      32.58  -20.590
10485 Narela                     so2    fold_1_stubble_oct_nov_2025      D+2       4.41    0.414
10485 Narela                     so2    fold_1_stubble_oct_nov_2025      D+3       4.50    0.379
10485 Narela                     so2    fold_2                           D+2       4.55    0.371
10485 Narela                     so2    fold_2                           D+3       4.71    0.330
10485 Narela                     so2    fold_3                           D+2       5.01    0.076
10485 Narela                     so2    fold_3                           D+3       5.06    0.068
10485 Narela                     so2    holdout_120d                     D+2       5.60    0.210
10485 Narela                     so2    holdout_120d                     D+3       5.57    0.207
10488 Najafgarh                  pm25   fold_3                           D+2      23.92    0.252
10488 Najafgarh                  pm25   fold_3                           D+3      24.76    0.193
10488 Najafgarh                  pm25   holdout_120d                     D+2      17.36   -0.714
10488 Najafgarh                  pm25   holdout_120d                     D+3      15.85   -0.468
10488 Najafgarh                  pm10   fold_3                           D+2      51.43    0.175
10488 Najafgarh                  pm10   fold_3                           D+3      54.19    0.083
10488 Najafgarh                  pm10   holdout_120d                     D+2      57.75    0.166
10488 Najafgarh                  pm10   holdout_120d                     D+3      56.44    0.197
10488 Najafgarh                  no2    fold_3                           D+2      18.12    0.428
10488 Najafgarh                  no2    fold_3                           D+3      17.70    0.453
10488 Najafgarh                  no2    holdout_120d                     D+2      21.52   -8.870
10488 Najafgarh                  no2    holdout_120d                     D+3      21.69   -9.336
10488 Najafgarh                  o3     fold_3                           D+2      16.57    0.310
10488 Najafgarh                  o3     fold_3                           D+3      17.21    0.251
10488 Najafgarh                  o3     holdout_120d                     D+2      14.60   -2.300
10488 Najafgarh                  o3     holdout_120d                     D+3      14.48   -2.289
10488 Najafgarh                  so2    fold_3                           D+2       5.34    0.063
10488 Najafgarh                  so2    fold_3                           D+3       5.60   -0.028
10488 Najafgarh                  so2    holdout_120d                     D+2      10.26   -1.057
10488 Najafgarh                  so2    holdout_120d                     D+3      10.11   -0.997
10820 Faridabad (Sector 30)      pm25   fold_1_stubble_oct_nov_2025      D+2      17.49    0.740
10820 Faridabad (Sector 30)      pm25   fold_1_stubble_oct_nov_2025      D+3      19.65    0.658
10820 Faridabad (Sector 30)      pm25   fold_2                           D+2      14.45    0.767
10820 Faridabad (Sector 30)      pm25   fold_2                           D+3      16.27    0.705
10820 Faridabad (Sector 30)      pm25   fold_3                           D+2      17.77   -0.159
10820 Faridabad (Sector 30)      pm25   fold_3                           D+3      19.89   -0.398
10820 Faridabad (Sector 30)      pm25   holdout_120d                     D+2      29.99   -0.131
10820 Faridabad (Sector 30)      pm25   holdout_120d                     D+3      31.25   -0.248
10820 Faridabad (Sector 30)      pm10   fold_1_stubble_oct_nov_2025      D+2      34.57    0.521
10820 Faridabad (Sector 30)      pm10   fold_1_stubble_oct_nov_2025      D+3      32.08    0.568
10820 Faridabad (Sector 30)      pm10   fold_2                           D+2      37.74    0.451
10820 Faridabad (Sector 30)      pm10   fold_2                           D+3      38.43    0.431
10820 Faridabad (Sector 30)      pm10   fold_3                           D+2      52.38   -1.103
10820 Faridabad (Sector 30)      pm10   fold_3                           D+3      60.34   -1.658
10820 Faridabad (Sector 30)      pm10   holdout_120d                     D+2      40.56    0.410
10820 Faridabad (Sector 30)      pm10   holdout_120d                     D+3      46.91    0.196
10820 Faridabad (Sector 30)      no2    fold_1_stubble_oct_nov_2025      D+2       2.14   -0.009
10820 Faridabad (Sector 30)      no2    fold_1_stubble_oct_nov_2025      D+3       2.26   -0.120
10820 Faridabad (Sector 30)      no2    fold_2                           D+2       2.13   -0.090
10820 Faridabad (Sector 30)      no2    fold_2                           D+3       2.22   -0.189
10820 Faridabad (Sector 30)      no2    fold_3                           D+2       1.62   -0.658
10820 Faridabad (Sector 30)      no2    fold_3                           D+3       1.56   -0.563
10820 Faridabad (Sector 30)      no2    holdout_120d                     D+2       4.77   -0.334
10820 Faridabad (Sector 30)      no2    holdout_120d                     D+3       5.29   -0.627
10820 Faridabad (Sector 30)      o3     fold_1_stubble_oct_nov_2025      D+2       1.72   -0.610
10820 Faridabad (Sector 30)      o3     fold_1_stubble_oct_nov_2025      D+3       1.63   -0.426
10820 Faridabad (Sector 30)      o3     fold_2                           D+2       1.81   -0.399
10820 Faridabad (Sector 30)      o3     fold_2                           D+3       1.96   -0.641
10820 Faridabad (Sector 30)      o3     fold_3                           D+2       5.53   -0.010
10820 Faridabad (Sector 30)      o3     fold_3                           D+3       5.82   -0.128
10820 Faridabad (Sector 30)      o3     holdout_120d                     D+2       9.23   -0.172
10820 Faridabad (Sector 30)      o3     holdout_120d                     D+3       9.08   -0.127
10820 Faridabad (Sector 30)      so2    fold_1_stubble_oct_nov_2025      D+2       1.77  -78.571
10820 Faridabad (Sector 30)      so2    fold_1_stubble_oct_nov_2025      D+3       2.46 -152.273
10820 Faridabad (Sector 30)      so2    fold_2                           D+2       1.55  -80.069
10820 Faridabad (Sector 30)      so2    fold_2                           D+3       2.31 -179.676
10820 Faridabad (Sector 30)      so2    fold_3                           D+2       3.02  -13.018
10820 Faridabad (Sector 30)      so2    fold_3                           D+3       3.10  -13.763
10820 Faridabad (Sector 30)      so2    holdout_120d                     D+2       2.35   -1.083
10820 Faridabad (Sector 30)      so2    holdout_120d                     D+3       2.68   -1.710
10825 Gurugram (Sector 51)       pm25   fold_1_stubble_oct_nov_2025      D+2     251.28    0.089
10825 Gurugram (Sector 51)       pm25   fold_1_stubble_oct_nov_2025      D+3     249.50    0.098
10825 Gurugram (Sector 51)       pm25   fold_2                           D+2     441.60    0.104
10825 Gurugram (Sector 51)       pm25   fold_2                           D+3     441.48    0.104
10825 Gurugram (Sector 51)       pm25   fold_3                           D+2      59.71    0.022
10825 Gurugram (Sector 51)       pm25   fold_3                           D+3      61.45   -0.042
10825 Gurugram (Sector 51)       pm25   holdout_120d                     D+2      47.03   -0.659
10825 Gurugram (Sector 51)       pm25   holdout_120d                     D+3      46.81   -0.637
10825 Gurugram (Sector 51)       pm10   fold_1_stubble_oct_nov_2025      D+2     284.62    0.001
10825 Gurugram (Sector 51)       pm10   fold_1_stubble_oct_nov_2025      D+3     285.57   -0.012
10825 Gurugram (Sector 51)       pm10   fold_2                           D+2     507.46    0.070
10825 Gurugram (Sector 51)       pm10   fold_2                           D+3     508.70    0.065
10825 Gurugram (Sector 51)       pm10   fold_3                           D+2      91.25    0.171
10825 Gurugram (Sector 51)       pm10   fold_3                           D+3      96.53    0.064
10825 Gurugram (Sector 51)       pm10   holdout_120d                     D+2      60.79    0.001
10825 Gurugram (Sector 51)       pm10   holdout_120d                     D+3      60.46    0.006
10825 Gurugram (Sector 51)       no2    fold_1_stubble_oct_nov_2025      D+2       4.39   -0.255
10825 Gurugram (Sector 51)       no2    fold_1_stubble_oct_nov_2025      D+3       4.42   -0.210
10825 Gurugram (Sector 51)       no2    fold_2                           D+2       3.93   -0.307
10825 Gurugram (Sector 51)       no2    fold_2                           D+3       3.78   -0.211
10825 Gurugram (Sector 51)       no2    fold_3                           D+2       2.32   -2.466
10825 Gurugram (Sector 51)       no2    fold_3                           D+3       2.33   -2.515
10825 Gurugram (Sector 51)       no2    holdout_120d                     D+2       5.21    0.804
10825 Gurugram (Sector 51)       no2    holdout_120d                     D+3       5.88    0.746
10825 Gurugram (Sector 51)       o3     fold_1_stubble_oct_nov_2025      D+2      15.82   -0.771
10825 Gurugram (Sector 51)       o3     fold_1_stubble_oct_nov_2025      D+3      16.25   -0.935
10825 Gurugram (Sector 51)       o3     fold_2                           D+2      12.69   -0.545
10825 Gurugram (Sector 51)       o3     fold_2                           D+3      13.26   -0.686
10825 Gurugram (Sector 51)       o3     fold_3                           D+2       4.71    0.676
10825 Gurugram (Sector 51)       o3     fold_3                           D+3       5.10    0.620
10825 Gurugram (Sector 51)       o3     holdout_120d                     D+2       8.63   -0.867
10825 Gurugram (Sector 51)       o3     holdout_120d                     D+3       9.95   -1.460
10825 Gurugram (Sector 51)       so2    fold_1_stubble_oct_nov_2025      D+2      34.81  -30.146
10825 Gurugram (Sector 51)       so2    fold_1_stubble_oct_nov_2025      D+3      34.51  -29.104
10825 Gurugram (Sector 51)       so2    fold_2                           D+2      36.37   -0.911
10825 Gurugram (Sector 51)       so2    fold_2                           D+3      36.48   -0.922
10825 Gurugram (Sector 51)       so2    fold_3                           D+2       3.64   -1.893
10825 Gurugram (Sector 51)       so2    fold_3                           D+3       3.94   -2.415
10825 Gurugram (Sector 51)       so2    holdout_120d                     D+2      89.91   -1.014
10825 Gurugram (Sector 51)       so2    holdout_120d                     D+3      90.13   -1.007
10831 Rohini                     pm25   fold_3                           D+2      37.29    0.397
10831 Rohini                     pm25   fold_3                           D+3      38.75    0.346
